DATE,KYUR,INUR,AKUR,HIUR
1981-06-01,8.2,9.3,8.9,5.0
1981-07-01,8.3,9.3,9.1,5.0
1981-08-01,8.5,9.5,9.4,5.1
1981-09-01,8.7,9.8,9.5,5.1
1981-10-01,9.000,10.2,9.6,5.3
1981-11-01,9.3,10.7,9.7,5.5
1981-12-01,9.5,11.1,9.800,5.7
1982-01-01,9.8,11.500,9.800,5.8
1982-02-01,10.0,11.7,9.9,6.0
1982-03-01,10.2,11.8,9.9,6.1
1982-04-01,10.400,11.8,9.900,6.2
1982-05-01,10.5,11.7,9.900,6.2
1982-06-01,10.700,11.7,9.900,6.3
1982-07-01,10.800,11.8,9.900,6.2
1982-08-01,11.0,12.000,10.0,6.2
1982-09-01,11.2,12.200,10.1,6.1
1982-10-01,11.5,12.400,10.3,6.1
1982-11-01,11.8,12.6,10.5,6.1
1982-12-01,12.0,12.600,10.6,6.1
1983-01-01,12.2,12.500,10.7,6.2
1983-02-01,12.2,12.3,10.6,6.2
1983-03-01,12.1,12.000,10.4,6.2
1983-04-01,11.9,11.700,10.2,6.1
1983-05-01,11.7,11.500,10.0,6.0
1983-06-01,11.6,11.2,9.9,5.9
1983-07-01,11.3,11.0,9.8,5.8
1983-08-01,11.1,10.8,9.8,5.8
1983-09-01,10.8,10.5,9.800,5.7
1983-10-01,10.4,10.2,9.900,5.7
1983-11-01,10.1,9.9,10.000,5.6
1983-12-01,9.8,9.6,10.100,5.6
1984-01-01,9.6,9.3,10.200,5.6
1984-02-01,9.5,9.0,10.200,5.5
1984-03-01,9.4,8.8,10.1,5.5
1984-04-01,9.3,8.600,10.100,5.5
1984-05-01,9.2,8.400,10.000,5.4
1984-06-01,9.1,8.3,9.900,5.4
1984-07-01,9.0,8.200,9.800,5.4
1984-08-01,8.9,8.200,9.8,5.4
1984-09-01,8.8,8.200,9.7,5.4
1984-10-01,8.7,8.2,9.7,5.5
1984-11-01,8.700,8.2,9.6,5.4
1984-12-01,8.600,8.2,9.6,5.4
1985-01-01,8.600,8.1,9.6,5.3
1985-02-01,8.6,8.1,9.6,5.2
1985-03-01,8.7,8.0,9.7,5.1
1985-04-01,8.8,8.0,9.8,5.1
1985-05-01,8.9,7.9,9.9,5.2
1985-06-01,9.0,7.9,9.9,5.3
1985-07-01,9.1,7.8,9.9,5.3
1985-08-01,9.2,7.6,9.9,5.4
1985-09-01,9.2,7.4,9.9,5.3
1985-10-01,9.3,7.200,9.9,5.2
1985-11-01,9.3,7.100,9.900,5.2
1985-12-01,9.3,7.000,10.1,5.1
1986-01-01,9.4,6.900,10.4,5.1
1986-02-01,9.4,7.000,10.7,5.1
1986-03-01,9.3,7.0,11.0,5.1
1986-04-01,9.3,7.0,11.2,5.0
1986-05-01,9.300,7.0,11.4,4.9
1986-06-01,9.200,6.9,11.4,4.8
1986-07-01,9.200,6.800,11.4,4.6
1986-08-01,9.200,6.700,11.3,4.5
1986-09-01,9.2,6.6,11.2,4.400
1986-10-01,9.2,6.6,11.1,4.300
1986-11-01,9.2,6.6,11.1,4.200
1986-12-01,9.2,6.6,11.0,4.100
1987-01-01,9.1,6.6,10.9,4.000
1987-02-01,9.0,6.6,10.8,4.000
1987-03-01,8.8,6.5,10.6,3.9
1987-04-01,8.6,6.4,10.5,3.9
1987-05-01,8.4,6.4,10.3,3.8
1987-06-01,8.2,6.3,10.2,3.8
1987-07-01,8.1,6.2,10.1,3.7
1987-08-01,7.9,6.0,9.9,3.6
1987-09-01,7.9,5.900,9.8,3.5
1987-10-01,7.8,5.7,9.7,3.5
1987-11-01,7.8,5.600,9.5,3.4
1987-12-01,7.7,5.400,9.4,3.3
1988-01-01,7.7,5.300,9.2,3.2
1988-02-01,7.7,5.200,9.1,3.2
1988-03-01,7.6,5.200,9.0,3.1
1988-04-01,7.6,5.200,8.9,3.1
1988-05-01,7.6,5.200,8.9,3.100
1988-06-01,7.6,5.200,8.8,3.0
1988-07-01,7.5,5.2,8.800,3.0
1988-08-01,7.5,5.2,8.700,3.100
1988-09-01,7.4,5.2,8.600,3.1
1988-10-01,7.2,5.2,8.500,3.1
1988-11-01,7.100,5.1,8.3,3.0
1988-12-01,6.9,4.9,8.000,2.9
1989-01-01,6.7,4.7,7.700,2.8
1989-02-01,6.600,4.5,7.400,2.7
1989-03-01,6.500,4.4,7.100,2.5
1989-04-01,6.500,4.400,6.900,2.4
1989-05-01,6.500,4.4,6.800,2.400
1989-06-01,6.4,4.5,6.8,2.3
1989-07-01,6.400,4.7,6.9,2.3
1989-08-01,6.300,4.8,7.0,2.400
1989-09-01,6.200,5.0,7.1,2.400
1989-10-01,6.100,5.0,7.1,2.4
1989-11-01,6.000,5.1,7.2,2.500
1989-12-01,5.9,5.1,7.2,2.600
1990-01-01,5.800,5.1,7.200,2.6
1990-02-01,5.8,5.1,7.200,2.7
1990-03-01,5.700,5.0,7.200,2.7
1990-04-01,5.700,5.0,7.200,2.7
1990-05-01,5.700,5.0,7.200,2.7
1990-06-01,5.8,5.0,7.200,2.6
