"Year","state","fmhpi"
2020,"AR",163.103029825833
2021,"AR",184.53884234
1975,"AZ",29.402664248
1976,"AZ",30.1108708885833
1977,"AZ",32.38276562575
1978,"AZ",37.4219569149167
1979,"AZ",45.6818966965
1980,"AZ",51.8284402775
1981,"AZ",54.815526831
1982,"AZ",55.9524967785833
1983,"AZ",58.4938928305833
1984,"AZ",60.3720456915
1985,"AZ",61.5034676599167
1986,"AZ",63.9463061981667
1987,"AZ",64.9784556260833
1988,"AZ",65.1573310135833
1989,"AZ",64.9359427128333
1990,"AZ",64.58446460175
1991,"AZ",64.854510372
1992,"AZ",66.22974566525
1993,"AZ",67.7730476445833
1994,"AZ",72.0683496975
1995,"AZ",75.9694283131667
1996,"AZ",79.5739042073333
1997,"AZ",82.4139615975833
1998,"AZ",86.7396414109167
1999,"AZ",91.8564298698333
2000,"AZ",97.7540395971667
2001,"AZ",102.959458125833
2002,"AZ",109.113960563333
2003,"AZ",117.499066456667
2004,"AZ",133.3448546525
2005,"AZ",176.8220292575
2006,"AZ",202.288509394167
2007,"AZ",194.555013540833
2008,"AZ",158.519021389167
2009,"AZ",122.84822443
2010,"AZ",112.528852740833
2011,"AZ",103.227312981667
2012,"AZ",117.134196840833
2013,"AZ",137.636418335
2014,"AZ",147.397079255833
2015,"AZ",157.042861305833
2016,"AZ",167.871986855
2017,"AZ",180.259739885
2018,"AZ",194.328592299167
2019,"AZ",206.933349714167
2020,"AZ",229.695948250833
2021,"AZ",279.330045892222
1975,"CA",16.7594613474167
1976,"CA",19.3702739809167
1977,"CA",24.2238736809167
1978,"CA",28.7206529009167
1979,"CA",33.6649162295833
1980,"CA",38.5257638075
1981,"CA",41.9934461113333
1982,"CA",42.7150339983333
1983,"CA",43.25978064525
1984,"CA",44.4114687988333
1985,"CA",46.3949684661667
1986,"CA",49.3243975765
1987,"CA",53.800583101
1988,"CA",61.4094664854167
1989,"CA",73.7745102910833
1990,"CA",80.2110883966667
1991,"CA",78.6386027384167
1992,"CA",76.81846114275
1993,"CA",72.1390918685833
1994,"CA",69.3538223573333
1995,"CA",67.6050323686667
1996,"CA",67.206064896
1997,"CA",68.9102402605
1998,"CA",75.0612416441667
1999,"CA",82.73076097475
2000,"CA",93.8702933434167
